Gene Name,Diff,Imm,Mes,Pro
ALDH9A1,0.7239,-1.1654,-2.3777,2.7216
ALDOA,2.4352,3.0688,-0.5832,-4.4538
ALDOAP2,1.9752,1.8626,0.5295,-4.0133
ALDOB,2.9273,0.2939,-3.9235,0.8713
ALDOC,-0.5943,0.632,0.7554,-0.7828
ALG12,2.2677,0.4219,1.066,-3.4366
ALG3,1.0851,1.5926,-1.5151,-0.9565
ALG5,-2.435,2.7905,3.0915,-3.3919
ALG6,0.0567,5.0522,-2.0653,-2.5793
ALG8,0.3975,2.8319,-1.9215,-1.0834
ALG9,1.1594,-0.9063,-0.0539,-0.1328
ALK,-0.3831,-1.607,-1.4451,3.228
ALKBH1,-4.1538,2.0498,-0.2652,1.9528
ALKBH4,1.8727,-1.3056,-2.8269,2.2569
ALLC,3.6313,-2.7301,-5.456,4.4939
ALMS1,-0.7108,-5.0758,-2.2469,7.8504
ALOX12,-0.0594,2.4445,-2.3955,0.1097
ALOX12B,-0.4478,-0.4075,-1.9776,2.6783
ALOX12P2,2.5226,5.4638,-4.2122,-3.1011
ALOX15,1.357,-0.6444,-2.3588,1.6535
ALOX15B,-1.1846,1.0858,1.7692,-1.6527
ALOX5,2.0632,5.8969,3.9527,-12.8521
ALOX5AP,-1.6477,8.9028,5.3691,-13.196
ALOXE3,1.0667,1.8212,-3.0425,0.2739
ALPI,2.3631,-0.8452,-3.393,1.9273
ALPK3,0.0873,-0.7148,-0.7616,1.3108
ALPL,-2.2078,-3.1553,-2.6702,7.8895
ALPP,2.3025,-2.5908,-1.4929,1.7846
ALPPL2,1.9947,-0.3572,-3.008,1.4445
ALS2CL,7.39,-1.6817,1.0821,-5.7872
ALS2CR8,-0.4687,1.4771,-0.1486,-0.7968
ALX1,-2.8301,1.335,-3.2204,4.3881
ALX3,-0.2682,-1.2599,-2.5238,3.8677
ALX4,2.6109,-0.6465,-3.0016,1.1689
AMACR,-0.2245,0.0735,1.2943,-1.1103
AMBN,1.2386,-0.4607,-1.2432,0.5281
AMBP,1.1332,-0.6309,-3.3714,2.7992
AMD1,-3.6162,1.4344,-1.2881,3.0739
AMDHD2,-0.7655,2.9872,1.6632,-3.6915
AMELX,-0.0268,-0.7094,-1.2107,1.8401
AMELY,-0.2441,1.355,-0.0046,-1.0214
AMFR,1.3522,0.4292,-0.7494,-0.8578
AMH,3.3752,-1.6711,-1.6199,0.1596
AMHR2,1.3683,-2.1766,-4.4476,5.112
AMIGO2,-0.8518,-1.1181,6.8158,-4.5225
AMMECR1,-0.5447,-0.4107,-1.7786,2.5745
AMN,4.5782,-0.306,-2.6103,-1.1386
AMOT,3.7332,-5.9581,0.2789,1.7409
AMOTL2,1.0018,-4.9104,3.958,-0.2354
AMPD1,-2.8201,5.7639,1.1933,-3.8312
AMPD2,1.7511,-1.9275,-1.8988,2.0525
AMPD3,0.2249,4.1661,3.5445,-7.8855
AMPH,1.104,-2.2184,3.8653,-2.6046
AMT,2.0188,-0.1059,-3.5399,1.6833
AMZ2,-1.0761,1.5703,0.2023,-0.6869
ANAPC1,0.38,0.7814,-2.8099,1.6217
ANAPC10,-4.1687,4.1549,0.9291,-1.0425
ANAPC13,-2.1039,-0.9009,-1.1627,3.8463
ANAPC2,1.1974,-0.0363,-0.9981,-0.0582
ANAPC5,-2.608,0.699,-2.5998,4.1933
ANG,-2.0743,-1.5172,-0.8493,4.0956
ANGEL1,-1.5028,-1.4948,-0.824,3.5274
ANGEL2,-1.9243,1.2266,-3.32,3.7637
ANGPT1,-3.094,-2.3823,9.1138,-3.0888
